"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes","type","abs_zScoreDiff"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS2",0.977174955227688,0,0.488496377990059,0,-23.7605492064158,8.54807288487444e-125,7.20720720720721e-05,0.138652155644643,"+/+","Bacteria",23.7605492064158
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS3",0.937744658469102,0,0.34318127453279,4.14397405279487e-11,-19.0639547624916,5.03233135458451e-81,0.000288288288288288,0.249573880160357,"+/+","Bacteria",19.0639547624916
"Streptococcus salivarius","Streptococcus sp. HSISS2",0.941967916359338,0,0.479521056250462,0,-17.2650678637957,8.6202436675258e-67,0.000612612612612613,0.249573880160357,"+/+","Bacteria",17.2650678637957
"Erysiphe pulchra","Thielaviopsis punctulata",0.86241292019093,0,0.0768633888917556,0.151297976226004,-17.1642653991287,4.91664234286746e-66,0.000648648648648649,0.249573880160357,"+/0","Eukaryota",17.1642653991287
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.926779733025518,0,0.388137309752663,4.9737991503207e-14,-17.1613410738039,5.17057921817344e-66,0.000648648648648649,0.249573880160357,"+/+","Bacteria",17.1613410738039
"Streptococcus salivarius","Streptococcus sp. FDAARGOS 192",0.985107023599042,0,0.847874351702569,0,-16.7729476755331,3.84930201091476e-63,0.000792792792792793,0.251307032105915,"+/+","Bacteria",16.7729476755331
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.907697435944044,0,0.312523080528675,2.28393925993942e-09,-16.6780572283145,1.89274983146093e-62,0.000936936936936937,0.251307032105915,"+/+","Bacteria",16.6780572283145
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.936204688214812,0,0.504409048752913,0,-16.1213899218181,1.80503369697241e-58,0.00104504504504505,0.251307032105915,"+/+","Bacteria",16.1213899218181
"Streptococcus salivarius","Streptococcus sp. HSISS1",0.977496166740398,0,0.823424458837292,0,-14.9925118103568,8.21853424796939e-51,0.0012972972972973,0.277304311289285,"+/+","Bacteria",14.9925118103568
"Streptococcus salivarius","Streptococcus equinus",0.600118225712901,0,0.92651176441557,0,13.1614825657486,1.4618886810547e-39,0.00176576576576577,0.309656480939702,"+/+","Bacteria",13.1614825657486
"Erysiphe pulchra","Sphaerulina musiva",0.810739282851481,0,0.212040597290213,6.38038475444525e-05,-12.7978957031325,1.68454263628155e-37,0.00194594594594595,0.309656480939702,"+/+","Eukaryota",12.7978957031325
"Fusobacterium periodonticum","Prevotella intermedia",0.723985112675587,0,0.0347620744715565,0.516850209854284,-12.3402173145604,5.50072140771321e-35,0.00223423423423423,0.309656480939702,"+/0","Bacteria",12.3402173145604
"Romboutsia ilealis","Moniliophthora perniciosa",0.0669772484851143,0.154224067305243,0.731011153974709,0,12.0968904424846,1.09687852544443e-33,0.00230630630630631,0.309656480939702,"0/+","Intersect",12.0968904424846
