"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"1","2014_ZellerG","Aspergillus_rambellii","13","64.11",62.08,"Fungi"
"2","2014_ZellerG","Rhizophagus_irregularis","70","56.51",53.78,"Fungi"
"3","2014_ZellerG","Moniliophthora_perniciosa","82","59.3",56.13,"Fungi"
"4","2014_ZellerG","Erysiphe_pulchra","30","44.16",54.07,"Fungi"
"5","2014_ZellerG","Sphaerulina_musiva","58","57.01",51.14,"Fungi"
"6","2014_ZellerG","Phytophthora_capsici","51","55.22",53.04,"Fungi"
"7","2014_ZellerG","Trichophyton_mentagrophytes","52","54.22",54.04,"Fungi"
"8","2014_ZellerG","Aspergillus_kawachii","75","69.27",60.06,"Fungi"
"9","2014_ZellerG","Pneumocystis_murina","65","58.85",54.05,"Fungi"
"10","2014_ZellerG","Debaryomyces_hansenii","57","53.3",56.05,"Fungi"
"11","2014_ZellerG","Trichoderma_atroviride","32","55.07",55.86,"Fungi"
"12","2014_ZellerG","Pseudocercospora_musae","24","54.34",54.09,"Fungi"
"13","2014_ZellerG","Cordyceps_sp_RAO_2017","81","62.2",55.91,"Fungi"
"14","2014_ZellerG","Rhizophagus_clarus","26","61.69",54.25,"Fungi"
"15","2014_ZellerG","Pichia_kudriavzevii","99","55.96",54.93,"Fungi"
"16","2014_ZellerG","Paracoccidioides_brasiliensis","63","45.83",55.18,"Fungi"
"17","2014_ZellerG","Albugo_candida","83","62.27",52.25,"Fungi"
"18","2014_ZellerG","Lipomyces_starkeyi","24","56.41",56.03,"Fungi"
"19","2014_ZellerG","Naumovozyma_dairenensis","34","47.94",55.58,"Fungi"
"20","2014_ZellerG","Phytopythium_vexans","80","48.18",50.79,"Fungi"
"21","2014_ZellerG","Aspergillus_ochraceoroseus","99","55.45",57.94,"Fungi"
"22","2014_ZellerG","Colletotrichum_fioriniae","49","56.62",51.35,"Fungi"
"23","2014_ZellerG","Coniochaeta_ligniaria","39","59.71",54.74,"Fungi"
"24","2014_ZellerG","Leucoagaricus_sp_SymC_cos","90","55.18",59.46,"Fungi"
"25","2014_ZellerG","Colletotrichum_salicis","8","57.43",55.82,"Fungi"
"26","2014_ZellerG","Candida_arabinofermentans","43","57.43",50.65,"Fungi"
"27","2014_ZellerG","Baudoinia_panamericana","13","56.69",47.96,"Fungi"
"28","2014_ZellerG","Hyaloscypha_variabilis","30","50.92",45.91,"Fungi"
"29","2014_ZellerG","Schizosaccharomyces_pombe","14","52.91",56.41,"Fungi"
"30","2014_ZellerG","Tuber_magnatum","31","57.74",52.33,"Fungi"
"31","2014_ZellerG","Thielaviopsis_punctulata","13","53.2",54.19,"Fungi"
"32","2014_ZellerG","Edhazardia_aedis","74","49.97",50,"Fungi"
"33","2014_ZellerG","Choanephora_cucurbitarum","29","64.62",56.46,"Fungi"
"34","2014_ZellerG","Fusobacterium_nucleatum","10","71.89",65.02,"Bac"
"35","2014_ZellerG","Parvimonas_micra","12","65.08",67.79,"Bac"
"36","2014_ZellerG","Gemella_morbillorum","63","62.39",63.97,"Bac"
"37","2014_ZellerG","Anaerostipes_hadrus","45","62.58",56.05,"Bac"
"38","2014_ZellerG","Pseudobutyrivibrio_xylanivorans","59","65.07",56.47,"Bac"
"39","2014_ZellerG","Butyrivibrio_proteoclasticus","1","61.76",56.74,"Bac"
"40","2014_ZellerG","Roseburia_intestinalis","4","52.66",53.49,"Bac"
"41","2014_ZellerG","Dialister_pneumosintes","42","55.49",55.75,"Bac"
"42","2014_ZellerG","Lactococcus_garvieae","79","51.11",52.56,"Bac"
"43","2014_ZellerG","Brachyspira_pilosicoli","21","64.9",52.65,"Bac"
"44","2014_ZellerG","Romboutsia_ilealis","18","63.45",54.69,"Bac"
"45","2014_ZellerG","Porphyromonas_asaccharolytica","34","65.13",62.37,"Bac"
"46","2014_ZellerG","Eubacterium_eligens","12","54.7",50.38,"Bac"
"47","2014_ZellerG","Clostridium_beijerinckii","50","55.22",55.66,"Bac"
"48","2014_ZellerG","Fusobacterium_periodonticum","16","54.17",57.76,"Bac"
"49","2014_ZellerG","Streptococcus_anginosus","81","51.5",52.87,"Bac"
"50","2014_ZellerG","Bifidobacterium_catenulatum","82","49.01",55.09,"Bac"
"51","2014_ZellerG","Lactobacillus_ruminis","34","60.43",54.44,"Bac"
"52","2014_ZellerG","Bifidobacterium_angulatum","96","53.54",48.94,"Bac"
"53","2014_ZellerG","Streptococcus_salivarius","13","58.18",55.08,"Bac"
"54","2014_ZellerG","Bifidobacterium_pseudocatenulatum","57","48.75",53.51,"Bac"
"55","2014_ZellerG","Streptococcus_equinus","16","55.12",55.23,"Bac"
"56","2014_ZellerG","Streptococcus_milleri","5","52.85",54.01,"Bac"
"57","2014_ZellerG","Bifidobacterium_bifidum","3","56.95",55.41,"Bac"
"58","2014_ZellerG","Prevotella_intermedia","77","59.29",52.53,"Bac"
"59","2014_ZellerG","Streptococcus_thermophilus","4","53.66",53.08,"Bac"
"60","2014_ZellerG","Bifidobacterium_adolescentis","89","50.71",55.16,"Bac"
"61","2014_ZellerG","Adlercreutzia_equolifaciens","61","52.66",52.57,"Bac"
"62","2014_ZellerG","Ruminococcus_bicirculans","2","56.95",57.71,"Bac"
"63","2014_ZellerG","Bifidobacterium_longum","87","56.29",59.98,"Bac"
"64","2014_ZellerG","Escherichia_coli","12","58.34",51.42,"Bac"
"65","2015_FengQ","Aspergillus_rambellii","24","63.95",62.08,"Fungi"
"66","2015_FengQ","Rhizophagus_irregularis","20","53.07",53.78,"Fungi"
"67","2015_FengQ","Moniliophthora_perniciosa","81","56.57",56.13,"Fungi"
"68","2015_FengQ","Erysiphe_pulchra","45","58.59",54.07,"Fungi"
"69","2015_FengQ","Sphaerulina_musiva","51","51.67",51.14,"Fungi"
"70","2015_FengQ","Phytophthora_capsici","98","51.14",53.04,"Fungi"
"71","2015_FengQ","Trichophyton_mentagrophytes","50","65.98",54.04,"Fungi"
"72","2015_FengQ","Aspergillus_kawachii","94","60.29",60.06,"Fungi"
"73","2015_FengQ","Pneumocystis_murina","84","55.26",54.05,"Fungi"
"74","2015_FengQ","Debaryomyces_hansenii","24","43.53",56.05,"Fungi"
"75","2015_FengQ","Trichoderma_atroviride","19","57.78",55.86,"Fungi"
"76","2015_FengQ","Pseudocercospora_musae","4","53.17",54.09,"Fungi"
"77","2015_FengQ","Cordyceps_sp_RAO_2017","67","47.71",55.91,"Fungi"
"78","2015_FengQ","Rhizophagus_clarus","63","51.08",54.25,"Fungi"
"79","2015_FengQ","Pichia_kudriavzevii","46","49.87",54.93,"Fungi"
"80","2015_FengQ","Paracoccidioides_brasiliensis","22","42.91",55.18,"Fungi"
"81","2015_FengQ","Albugo_candida","1","42.58",52.25,"Fungi"
"82","2015_FengQ","Lipomyces_starkeyi","93","49.44",56.03,"Fungi"
"83","2015_FengQ","Naumovozyma_dairenensis","85","61.24",55.58,"Fungi"
"84","2015_FengQ","Phytopythium_vexans","16","43.63",50.79,"Fungi"
"85","2015_FengQ","Aspergillus_ochraceoroseus","11","60.2",57.94,"Fungi"
"86","2015_FengQ","Colletotrichum_fioriniae","51","54.67",51.35,"Fungi"
"87","2015_FengQ","Coniochaeta_ligniaria","55","53.24",54.74,"Fungi"
"88","2015_FengQ","Leucoagaricus_sp_SymC_cos","54","57.29",59.46,"Fungi"
"89","2015_FengQ","Colletotrichum_salicis","96","51.93",55.82,"Fungi"
"90","2015_FengQ","Candida_arabinofermentans","49","49.44",50.65,"Fungi"
"91","2015_FengQ","Baudoinia_panamericana","19","56.41",47.96,"Fungi"
"92","2015_FengQ","Hyaloscypha_variabilis","65","61.99",45.91,"Fungi"
"93","2015_FengQ","Schizosaccharomyces_pombe","97","42.12",56.41,"Fungi"
"94","2015_FengQ","Tuber_magnatum","15","52.35",52.33,"Fungi"
"95","2015_FengQ","Thielaviopsis_punctulata","35","45.46",54.19,"Fungi"
"96","2015_FengQ","Edhazardia_aedis","92","54.84",50,"Fungi"
"97","2015_FengQ","Choanephora_cucurbitarum","53","54.18",56.46,"Fungi"
